created_at,match_date,tournament,surface,player,opponent,confidence,predicted_winner,normalized_player,history_matches,reasons
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,R. Chodora,B. Nagy,0.504,R. Chodora,r chodora,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,R. Frank,S. Jara,0.504,R. Frank,r frank,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,R. Kis Balazs,M. Bartakovics,0.504,M. Bartakovics,r kis balazs,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Men 01,Unknown,R. Patil,G. Bernadsky,0.504,G. Bernadsky,r patil,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,R. Yang,M. Mazev,0.504,R. Yang,r yang,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,S. Harrison,A. Belkovics,0.504,S. Harrison,s harrison,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,S. Jara,R. Frank,0.504,R. Frank,s jara,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,ATP Challenger Plovdiv,Grass,S. Kopp,I. Montes-de la Torre,0.504,S. Kopp,s kopp,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,Târgu Mureș,Unknown,S. Nagal,F. Balshaw,0.504,S. Nagal,s nagal,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,S. Shulzhenko,M. Fuduric,0.504,M. Fuduric,s shulzhenko,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,S. Webster,A. Harmon,0.504,S. Webster,s webster,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,T. Gaillard,A. Tarrio Ponte,0.504,T. Gaillard,t gaillard,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,T. Gubi,B. Kisantal,0.504,B. Kisantal,t gubi,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Men 01,Unknown,T. Jirousek,C. Stelse,0.504,C. Stelse,t jirousek,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,T. Mar,N. Outcalt,0.504,N. Outcalt,t mar,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,Lexus Eastbourne Open,Grass,Tatjana Maria,Madison Keys,0.5119,Tatjana Maria,tatjana maria,18,low_confidence
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,V. Breazu,A. Jilly,0.504,V. Breazu,v breazu,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,V. Vales,D. Knesl,0.504,D. Knesl,v vales,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,Z. Kubacha,I. Ashar,0.504,I. Ashar,z kubacha,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
